Unnamed: 0,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,Keyword,ID,HS,Abusive,HS_label,Abusive_label
0,1.97e+18,9/9/2025 2:49,7,perpanjangan kontrak freeport memperkuat posisi korporasi phk buruh diselesaikan menjadikannya warisan konflik amplifier pelanggaran ham negara dikritik buruh diabaikanburuhfreeport phk2017 solidaritas suarapekerja rizalramli,1.97e+18,https://pbs.twimg.com/media/G0XzTAsboAAhZTo.png,,in,0,0,7,https://x.com/undefined/status/1965246063906095464,749614904.0,Solidaritas_Buruh,1,8.235631e-05,9.0000685e-05,0,0
1,1.96e+18,8/9/2025 7:12,0,kapolri terima kasih komunitas ojol buruh kolaborasi bikin negara cool solidaritas indonesiabangkit,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1964949947431972876,2709905130.0,Solidaritas_Buruh,2,0.0001080097,8.460974e-05,0,0
2,1.96e+18,6/9/2025 15:20,0,dialog hangat mahasiswa pemerintah istana negara aspirasi langsung istana mahasiswa,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1964347920326557918,1355799450.0,Istana_Negara,3,8.688314e-05,8.214117e-05,0,0
3,1.96e+18,26/08/2025 08:46,0,istana salah data penerima penghargaan negara gombloh pencipta lagu bengawan solo ralat gombloh kebyar kebyar,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1960262491713462415,105761619.0,Istana_Negara,4,0.0029257971,0.9876183,0,1
4,1.96e+18,1/9/2025 12:16,0,samakan rakyat jelata wow kalimatnya pejabat mengundurkan faktanya detik menikmati gaji fasilitas negeri karyawan rakyat reformasidikorupsi reformasidpr,1.96e+18,,aeth_ya,in,0,0,0,https://x.com/undefined/status/1962489697290326019,1.43e+18,ReformasiDikorupsi,5,0.9997342,0.00015411041,1,0
5,1.96e+18,1/9/2025 12:00,0,prabowo persimpangan pemimpin perpanjangan tangan reformasidikorupsi antikorupsi,1.96e+18,https://pbs.twimg.com/media/GzwmaS0bUAAbp85.jpg,,in,0,0,0,https://x.com/undefined/status/1962485774898872510,1.87e+18,ReformasiDikorupsi,6,0.9990689,0.000103117854,1,0
6,1.96e+18,1/9/2025 7:13,1,september kendari sulawesi tenggara demo reformasidikorupsi mahasiswa meninggal immawan randi amplifier yusuf kardawi akibat peluru tajamluka kepala polisi diperiksa sumber jakarta hang out,1.96e+18,,SandiMataram,in,0,1,0,https://x.com/undefined/status/1962413517967098160,1.76e+18,ReformasiDikorupsi,7,0.00010409445,7.5332784e-05,0,0
7,1.96e+18,1/9/2025 4:15,0,bosque merinding reformasidikorupsi,1.96e+18,,RadioElshinta,in,0,0,0,https://x.com/undefined/status/1962368719939928342,1.59e+18,ReformasiDikorupsi,8,0.00016224588,0.00010597356,0,0
8,1.96e+18,1/9/2025 3:43,0,lagu polisi jaksa hakim indonesia reformasidikorupsi,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962360560873587003,1.52e+18,ReformasiDikorupsi,9,0.93533134,4.0572286e-05,1,0
9,1.96e+18,1/9/2025 3:29,0,just a minute menyelamatkan nkri judul dipegang pejabat publik berhak memantau menit menit reformasidikorupsi,1.96e+18,,SandiMataram,in,0,0,0,https://x.com/undefined/status/1962357195942805756,1.76e+18,ReformasiDikorupsi,10,0.34326985,2.924877e-05,0,0
10,1.96e+18,1/9/2025 3:29,0,berulang jawabannya just a minute publik berhak langkah konkret presiden reformasidikorupsi krisislegitimasi,1.96e+18,,SandiMataram,in,0,1,0,https://x.com/undefined/status/1962357185528373470,1.76e+18,ReformasiDikorupsi,11,0.9995881,0.00011602871,1,0
11,1.96e+18,31/08/2025 15:37,0,polisi gagah seragam senjata sejarah catat mahasiswa berdiri apaapa bikin rezim jatuh takut kebenaran reformasidikorupsi negarahukumkatanya,1.96e+18,,naa_aaii13,in,0,0,0,https://x.com/undefined/status/1962177825999601866,1.63e+18,ReformasiDikorupsi,12,0.9997055,0.00014021019,1,0
12,1.96e+18,31/08/2025 14:04,0,nothing orang tua terbrainwashed orba sedari propaganda mengakar menjalar bertahan kepala baby psilocybin  amplifier information kiss bersyukur lahir era reformasi reformasidikorupsi umur perjuangan,1.96e+18,,tanyakanrl,in,0,0,0,https://x.com/undefined/status/1962154553744503199,1530005004.0,ReformasiDikorupsi,13,8.493292e-05,8.54928e-05,0,0
13,1.96e+18,31/08/2025 09:11,0,biar tagline tawa (laugh) indonesia gelap indonesia darurat reformasidikorupsi,1.96e+18,,FoxtailBrain,in,0,0,0,https://x.com/undefined/status/1962080859957371221,1.14e+18,ReformasiDikorupsi,14,0.9998425,0.0002610967,1,0
14,1.96e+18,31/08/2025 02:09,0,reformasidikorupsi kasusnya perselisihan hasil pemilu omnibus law,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1961974588008804704,1.77e+18,ReformasiDikorupsi,15,0.5579195,4.4953147e-05,1,0
15,1.96e+18,30/08/2025 18:26,0,lapangan kagak kondusif liatliat utamakan keselamatan besok rakyat menang dprbubar reformasidikorupsi,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1961857957551100274,1.47e+18,ReformasiDikorupsi,16,0.9994677,0.00011554864,1,0
16,1.96e+18,30/08/2025 12:57,0,bekaskan pajak mencekik terbantai adem undang undang perampasan aset reformasidikorupsi reformasidpr suararakyatdijerat acab reformasidikebiri kawal usuttuntas revisiundangundangpolisi,1.96e+18,https://pbs.twimg.com/media/GzmgT-raEAABgx2.jpg,fariz_chamim,in,0,1,0,https://x.com/undefined/status/1961775382115524774,156323783.0,ReformasiDikorupsi,17,0.9997297,0.00020886934,1,0
