Unnamed: 0,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,Keyword,ID,row_index,entity,label
0,1.97e+18,9/9/2025 2:49,7,perpanjangan kontrak freeport memperkuat posisi korporasi phk buruh diselesaikan menjadikannya warisan konflik amplifier pelanggaran ham negara dikritik buruh diabaikanburuhfreeport phk2017 solidaritas suarapekerja rizalramli,1.97e+18,https://pbs.twimg.com/media/G0XzTAsboAAhZTo.png,,in,0,0,7,https://x.com/undefined/status/1965246063906095464,749614904.0,Solidaritas_Buruh,1,0,freeport,ORG
0,1.97e+18,9/9/2025 2:49,7,perpanjangan kontrak freeport memperkuat posisi korporasi phk buruh diselesaikan menjadikannya warisan konflik amplifier pelanggaran ham negara dikritik buruh diabaikanburuhfreeport phk2017 solidaritas suarapekerja rizalramli,1.97e+18,https://pbs.twimg.com/media/G0XzTAsboAAhZTo.png,,in,0,0,7,https://x.com/undefined/status/1965246063906095464,749614904.0,Solidaritas_Buruh,1,0,rizalramli,PER
1,1.96e+18,8/9/2025 7:12,0,kapolri terima kasih komunitas ojol buruh kolaborasi bikin negara cool solidaritas indonesiabangkit,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1964949947431972876,2709905130.0,Solidaritas_Buruh,2,1,,
2,1.96e+18,6/9/2025 15:20,0,dialog hangat mahasiswa pemerintah istana negara aspirasi langsung istana mahasiswa,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1964347920326557918,1355799450.0,Istana_Negara,3,2,,
3,1.96e+18,26/08/2025 08:46,0,istana salah data penerima penghargaan negara gombloh pencipta lagu bengawan solo ralat gombloh kebyar kebyar,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1960262491713462415,105761619.0,Istana_Negara,4,3,gombloh,PER
4,1.96e+18,1/9/2025 12:16,0,samakan rakyat jelata wow kalimatnya pejabat mengundurkan faktanya detik menikmati gaji fasilitas negeri karyawan rakyat reformasidikorupsi reformasidpr,1.96e+18,,aeth_ya,in,0,0,0,https://x.com/undefined/status/1962489697290326019,1.43e+18,ReformasiDikorupsi,5,4,,
5,1.96e+18,1/9/2025 12:00,0,prabowo persimpangan pemimpin perpanjangan tangan reformasidikorupsi antikorupsi,1.96e+18,https://pbs.twimg.com/media/GzwmaS0bUAAbp85.jpg,,in,0,0,0,https://x.com/undefined/status/1962485774898872510,1.87e+18,ReformasiDikorupsi,6,5,prabowo,PER
6,1.96e+18,1/9/2025 7:13,1,september kendari sulawesi tenggara demo reformasidikorupsi mahasiswa meninggal immawan randi amplifier yusuf kardawi akibat peluru tajamluka kepala polisi diperiksa sumber jakarta hang out,1.96e+18,,SandiMataram,in,0,1,0,https://x.com/undefined/status/1962413517967098160,1.76e+18,ReformasiDikorupsi,7,6,immawan randi amplifier yusuf kardawi,PER
7,1.96e+18,1/9/2025 4:15,0,bosque merinding reformasidikorupsi,1.96e+18,,RadioElshinta,in,0,0,0,https://x.com/undefined/status/1962368719939928342,1.59e+18,ReformasiDikorupsi,8,7,bosque,PER
8,1.96e+18,1/9/2025 3:43,0,lagu polisi jaksa hakim indonesia reformasidikorupsi,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1962360560873587003,1.52e+18,ReformasiDikorupsi,9,8,,
9,1.96e+18,1/9/2025 3:29,0,just a minute menyelamatkan nkri judul dipegang pejabat publik berhak memantau menit menit reformasidikorupsi,1.96e+18,,SandiMataram,in,0,0,0,https://x.com/undefined/status/1962357195942805756,1.76e+18,ReformasiDikorupsi,10,9,,
10,1.96e+18,1/9/2025 3:29,0,berulang jawabannya just a minute publik berhak langkah konkret presiden reformasidikorupsi krisislegitimasi,1.96e+18,,SandiMataram,in,0,1,0,https://x.com/undefined/status/1962357185528373470,1.76e+18,ReformasiDikorupsi,11,10,,
11,1.96e+18,31/08/2025 15:37,0,polisi gagah seragam senjata sejarah catat mahasiswa berdiri apaapa bikin rezim jatuh takut kebenaran reformasidikorupsi negarahukumkatanya,1.96e+18,,naa_aaii13,in,0,0,0,https://x.com/undefined/status/1962177825999601866,1.63e+18,ReformasiDikorupsi,12,11,,
12,1.96e+18,31/08/2025 14:04,0,nothing orang tua terbrainwashed orba sedari propaganda mengakar menjalar bertahan kepala baby psilocybin  amplifier information kiss bersyukur lahir era reformasi reformasidikorupsi umur perjuangan,1.96e+18,,tanyakanrl,in,0,0,0,https://x.com/undefined/status/1962154553744503199,1530005004.0,ReformasiDikorupsi,13,12,,
13,1.96e+18,31/08/2025 09:11,0,biar tagline tawa (laugh) indonesia gelap indonesia darurat reformasidikorupsi,1.96e+18,,FoxtailBrain,in,0,0,0,https://x.com/undefined/status/1962080859957371221,1.14e+18,ReformasiDikorupsi,14,13,,
14,1.96e+18,31/08/2025 02:09,0,reformasidikorupsi kasusnya perselisihan hasil pemilu omnibus law,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1961974588008804704,1.77e+18,ReformasiDikorupsi,15,14,reformasi,PER
15,1.96e+18,30/08/2025 18:26,0,lapangan kagak kondusif liatliat utamakan keselamatan besok rakyat menang dprbubar reformasidikorupsi,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1961857957551100274,1.47e+18,ReformasiDikorupsi,16,15,,
16,1.96e+18,30/08/2025 12:57,0,bekaskan pajak mencekik terbantai adem undang undang perampasan aset reformasidikorupsi reformasidpr suararakyatdijerat acab reformasidikebiri kawal usuttuntas revisiundangundangpolisi,1.96e+18,https://pbs.twimg.com/media/GzmgT-raEAABgx2.jpg,fariz_chamim,in,0,1,0,https://x.com/undefined/status/1961775382115524774,156323783.0,ReformasiDikorupsi,17,16,,
17,1.96e+18,30/08/2025 10:23,0,tuntutan diabaikan rakyat berhak bergerak mengembalikan nkri jalur proklamasi kedaulatan rakyat keadilan sosial kemanusiaan reformasipolri copotkapolri reformasidikorupsi kedaulatanrakyat,1.96e+18,,SandiMataram,in,0,0,0,https://x.com/undefined/status/1961736612003582325,1.76e+18,ReformasiDikorupsi,18,17,,
18,1.96e+18,30/08/2025 10:01,2,otak hati nurani dul bikin kesalahan langsung tanggung suka rela mundur reformasidikorupsi adem ayem baby orang,1.96e+18,,Bola_Jakarta,in,0,0,0,https://x.com/undefined/status/1961730943657574879,1.13e+18,ReformasiDikorupsi,19,18,dul,PER
19,1.96e+18,30/08/2025 08:28,0,demo reformasidikorupsi izin orang tua berangkat kampus lely hilda ibuku ngancam duluan biar diam diam ikutan demo sejujurnya hati kecilku ikutan guilty simpan quiet nothing,1.96e+18,https://pbs.twimg.com/media/Gzlis26bsAAjqpm.jpg,,in,0,0,0,https://x.com/undefined/status/1961707644017938898,1.08e+18,ReformasiDikorupsi,20,19,lely hilda,PER
